titre;publication;date;lu
La Moustache;Gil Blas;31 juillet 1883;true
Tombouctou;Le Gaulois;2 août 1883;true
Mon oncle Jules;Le Gaulois;7 août 1883;true
Enragée ?;Gil Blas;7 août 1883;true
Un duel;Le Gaulois;14 août 1883;true
Les Caresses;Gil Blas;14 août 1883;true
Le Petit;Le Gaulois;19 août 1883;true
Le Cas de Mme Luneau;Gil Blas;21 août 1883;true
L’Ami patience;Gil Blas;4 septembre 1883;true
La Martine;Gil Blas;11 septembre 1883;true
L’Orient;Le Gaulois;13 septembre 1883;true
L’Enfant;Gil Blas;18 septembre 1883;true
Une Soirée (Le Colporteur / Boule de suif);Le Gaulois;21 septembre 1883;true
L’Odyssée d’une fille;Gil Blas;25 septembre 1883;true
Un coup d’état;Clair de lune;octobre 1883;true
Humble Drame;Gil Blas;2 octobre 1883;true
La Confession de Théodule Sabot;Gil Blas;9 octobre 1883;true
Une vendetta;Le Gaulois;14 octobre 1883;true
La Confession (Contes du jour et de la nuit);Le Gaulois;21 octobre 1883;true
Au bord du lit;Gil Blas;23 octobre 1883;true
Regret;Le Gaulois;4 novembre 1883;true
Le Vengeur;Gil Blas;6 novembre 1883;true
L’Attente;Le Gaulois;11 novembre 1883;true
Décoré !;Gil Blas;13 novembre 1883;true
Le Père;Gil Blas;20 novembre 1883;true
La Ficelle;Le Gaulois;25 novembre 1883;true
Un sage;Gil Blas;4 décembre 1883;true
Première neige;Le Gaulois;11 décembre 1883;true
Le Modèle;Le Gaulois;17 décembre 1883;true
La Farce;Gil Blas;18 décembre 1883;true
La Main;Le Gaulois;23 décembre 1883;true
Garçon, un Bock !...;Gil Blas;1er janvier 1884;true
Le Vieux;Le Gaulois;6 janvier 1884;true
Lettre trouvée sur un noyé;Gil Blas;8 janvier 1884;true
Le Baptême;Le Gaulois;14 janvier 1884;true
Coco;Le Gaulois;21 janvier 1884;true
Misti;Gil Blas;22 janvier 1884;true
Un lâche;Le Gaulois;27 janvier 1884;true
Rose;Gil Blas;29 janvier 1884;true
Notes d’un voyageur;Le Gaulois;4 février 1884;true
Le Protecteur;Gil Blas;5 février 1884;true
Le Parapluie;Le Gaulois;10 février 1884;true
Idylle;Gil Blas;12 février 1884;true
La Parure;Le Gaulois;17 février 1884;true
Une vente;Gil Blas;22 février 1884;true
Vains conseils;Gil Blas;26 février 1884;true
La mère sauvage;Le Gaulois;3 mars 1884;true
Le Gueux;Le Gaulois;9 mars 1884;true
Rencontre;Gil Blas;11 mars 1884;true
Le Bonheur;Le Gaulois;16 mars 1884;true
Adieu;Gil Blas;18 mars 1884;true
Souvenirs;Le Gaulois;23 mars 1884;true
Solitude;Le Gaulois;31 mars 1884;true
L’Héritage;La Vie militaire illustré;du 15 mars au 26 avril 1884;true
La Patronne;Gil Blas;1er avril 1884;true
Le Petit Fût;Le Gaulois;7 avril 1884;true
Chronique;Gil Blas;14 avril 1884;true
Châli;Gil Blas;15 avril 1884;true
L’Ivrogne;Le Gaulois;20 avril 1884;true
Malades et médecins;Gil Blas;11 mai 1884;true
La Chevelure;Gil Blas;13 mai 1884;true
L’Horrible;Le Gaulois;18 mai 1884;true
Souvenir;Gil Blas;20 mai 1884;true
Promenade;Gil Blas;27 mai 1884;true
Les Sœurs Rondoli;L’Écho de Paris;du 29 mai au 5 juin 1884;true
Les idées du Colonel;Le Gaulois;9 juin 1884;true
Le Crime au père Boniface;Gil Blas;24 juin 1884;true
Le Lit 29;Gil Blas;8 juillet 1884;true
Le Tic;Le Gaulois;14 juillet 1884;true
L’Aveu;Gil Blas;22 juillet 1884;true
La Peur;Le Figaro;25 juillet 1884;true
Le Retour;Le Gaulois;28 juillet 1884;true
La Tombe;Gil Blas;29 juillet 1884;true
La confession (Le Rosier de Madame Husson);Gil Blas;12 août 1884;true
L’Abandonné;Le Figaro;15 août 1884;true
Yvette;Le Figaro;du 29 août au 9 septembre 1884;true
Un fou ?;Le Figaro;1er septembre 1884;true
Découverte;Le Gaulois;4 septembre 1884;true
Le Bûcher;Le Figaro;7 septembre 1884;true
La Dot;Gil Blas;9 septembre 1884;true
Mohammed-Fripouille;Le Gaulois;20 septembre 1884;true
Le Legs;Gil Blas;23 septembre 1884;true
Le Garde;Le Gaulois;8 octobre 1884;true
Berthe;Le Figaro;20 octobre 1884;true
Bombard;Gil Blas;28 octobre 1884;true
La confession (Toine);Le Figaro;10 novembre 1884;true
La Revanche;Gil Blas;18 novembre 1884;true
Tribunaux rustiques;Gil Blas;25 novembre 1884;true
La Chambre 11;Gil Blas;9 décembre 1884;true
L’Armoire;Gil Blas;16 décembre 1884;true
Les Prisonniers;Gil Blas;30 décembre 1884;true
À vendre;Le Figaro;5 janvier 1885;true
Toine;Gil Blas;6 janvier 1885;true
Le Baptême;Gil Blas;13 janvier 1885;true
L’Inconnue;Gil Blas;27 janvier 1885;true
Blanc et Bleu;Gil Blas;3 février 1885;true
Nos Anglais;Gil Blas;10 février 1885;true
Lettre d’un fou;Gil Blas;17 février 1885;true
Le Père Mongilet;Gil Blas;24 février 1885;true
Le Moyen de Roger;Gil Blas;3 mars 1885;true
En wagon;Gil Blas;24 mars 1885;true
Petit Soldat;Le Figaro;13 avril 1885;true
Une lettre;Gil Blas;12 juin 1885;true
Un échec;Gil Blas;16 juin 1885;true
Joseph;Gil Blas;21 juillet 1885;true
Fini;Le Gaulois;27 juillet 1885;true
L’Épingle;Gil Blas;13 août 1885;true
La Confidence;Gil Blas;20 août 1885;true
Mes vingt-cinq jours;Gil Blas;25 août 1885;true
Un fou;Le Gaulois;2 septembre 1885;true
Imprudence;Gil Blas;15 septembre 1885;true
La Bête à Maît’ Belhomme;Gil Blas;22 septembre 1885;true
Les Bécasses;Gil Blas;20 octobre 1885;true
Ça ira;Gil Blas;10 novembre 1885;true
Monsieur Parent;Monsieur Parent;décembre 1885;true
La Petite Roque;Gil Blas;du 18 au 23 décembre 1885;true
Sauvée;Gil Blas;22 décembre 1885;true
L’Épave;Gil Blas;1er janvier 1886;true
Mademoiselle Perle;supplément littéraire du Figaro;16 janvier 1886;true
L’Ermite;Gil Blas;26 janvier 1886;true
Sur les chats;Gil Blas;9 février 1886;true
Rosalie Prudent;Gil Blas;2 mars 1886;true
Madame Parisse;Gil Blas;16 mars 1886;true
Julie Romain;Le Gaulois;20 mars 1886;true
Voyage de santé;Le Petit journal;18 avril 1886;true
Le Signe;Gil Blas;27 avril 1886;true
Le Père Amable;Gil Blas;du 30 avril au 4 mai 1886;true
Misère humaine;Gil Blas;8 juin 1886;true
Au bois;Gil Blas;22 juin 1886;true
Jour de fête;Gil Blas;20 juillet 1886;true
Une famille;Gil Blas;3 août 1886;true
Le Diable;Le Gaulois;5 août 1886;true
Un cas de divorce;Gil Blas;31 août 1886;true
L’Auberge;Les Lettres et les Arts;1er septembre 1886;true
La question du latin;Le Gaulois;2 septembre 1886;true
Le marquis de Fumerol;Gil Blas;5 octobre 1886;true
Le fermier;Le Gaulois;11 octobre 1886;true
Le Horla (première version);Gil Blas;26 octobre 1886;true
Le Trou;Gil Blas;9 novembre 1886;true
Cri d’alarme;Gil Blas;23 novembre 1886;true
Amour;Gil Blas;7 décembre 1886;true
Clochette;Gil Blas;21 décembre 1886;true
Le Vagabond;La Nouvelle Revue;1er janvier 1887;true
Étrennes;Gil Blas;7 janvier 1887;true
Madame Hermet;Gil Blas;18 janvier 1887;true
Les Rois;Le Gaulois;23 janvier 1887;true
Une Soirée (Le Rosier de Madame Husson);Gil Blas;29 mars 1887;true
La Porte;Gil Blas;3 mai 1887;true
La Baronne;Gil Blas;17 mai 1887;true
Le Horla;Le Horla;25 mai 1887;true
La Morte;Gil Blas;31 mai 1887;true
La Nuit;Gil Blas;14 juin 1887;true
Le Rosier de Madame Husson;La nouvelle Revue;15 juin 1887;true
Le Voyage du Horla;Le Figaro;16 juillet 1887;true
Le Lapin;Gil Blas;19 juillet 1887;true
Le Père;Gil Blas;26 juillet 1887;true
L’Ordonnance;Gil Blas;23 août 1887;true
Moiron;Gil Blas;27 septembre 1887;true
L’Assassin;Gil Blas;1er novembre 1887;true
Duchoux;Le Gaulois;14 novembre 1887;true
Comment on cause;Gil Blas;29 novembre 1887;true
L’Homme de Mars;Paris-Noël;1887-1888;true
Les Épingles;Gil Blas;10 janvier 1888;true
Divorce;Gil Blas;21 février 1888;true
Nos lettres;Le Gaulois;29 février 1888;true
Les 25 Francs de la supérieure;Gil Blas;28 mars 1888;true
