"index","titre","publication","date","lu","annee"
93,"La Toux","Panurge","28 janvier 1883",False,"1883"
94,"Auprès d’un mort","Gil Blas","30 janvier 1883",True,"1883"
95,"Deux Amis","Gil Blas","5 février 1883",False,"1883"
96,"En mer","Gil Blas","12 février 1883",True,"1883"
97,"Réveil","Gil Blas","20 février 1883",False,"1883"
98,"Le Père Judas","Le Gaulois","28 février 1883",False,"1883"
99,"L’Homme-fille","Gil Blas","13 mars 1883",True,"1883"
100,"Mademoiselle Cocotte","Gil Blas","20 mars 1883",False,"1883"
101,"Les Bijoux","Gil Blas","27 mars 1883",False,"1883"
102,"Saint-Antoine","Gil Blas","3 avril 1883",True,"1883"
103,"Apparition","Le Gaulois","4 avril 1883",True,"1883"
104,"Le Condamné à mort","Gil Blas","10 avril 1883",False,"1883"
105,"L’Aventure de Walter Schnaffs","Le Gaulois","11 avril 1883",True,"1883"
106,"La Reine Hortense","Gil Blas","24 avril 1883",False,"1883"
107,"En voyage (Miss Harriet)","Le Gaulois","10 mai 1883",True,"1883"
108,"Une surprise","Gil Blas","15 mai 1883",False,"1883"
109,"Le Père Milon","Le Gaulois","22 mai 1883",True,"1883"
110,"Le Pain maudit","Gil Blas","29 mai 1883",True,"1883"
111,"L’Ami Joseph","Le Gaulois","3 juin 1883",True,"1883"
112,"La Mère aux monstres","Gil Blas","12 juin 1883",True,"1883"
113,"L’Orphelin","Le Gaulois","15 juin 1883",False,"1883"
114,"La Serre","Gil Blas","26 juin 1883",True,"1883"
115,"Denis","Le Gaulois","28 juin 1883",True,"1883"
116,"Lui ?","Gil Blas","3 juillet 1883",True,"1883"
117,"Miss Harriet","Le Gaulois","9 juillet 1883",True,"1883"
118,"La fenêtre","Gil Blas","10 juillet 1883",True,"1883"
119,"L’Âne","Le Gaulois","15 juillet 1883",True,"1883"
120,"Aux eaux","Le Gaulois","24 juillet 1883",False,"1883"
121,"Le Mal d’André","Gil Blas","24 juillet 1883",True,"1883"
122,"La Moustache","Gil Blas","31 juillet 1883",True,"1883"
123,"Tombouctou","Le Gaulois","2 août 1883",True,"1883"
124,"Mon oncle Jules","Le Gaulois","7 août 1883",True,"1883"
125,"Enragée ?","Gil Blas","7 août 1883",True,"1883"
126,"Un duel","Le Gaulois","14 août 1883",True,"1883"
127,"Les Caresses","Gil Blas","14 août 1883",False,"1883"
128,"Le Petit","Le Gaulois","19 août 1883",True,"1883"
129,"Le Cas de Mme Luneau","Gil Blas","21 août 1883",True,"1883"
130,"L’Ami patience","Gil Blas","4 septembre 1883",True,"1883"
131,"La Martine","Gil Blas","11 septembre 1883",True,"1883"
132,"L’Orient","Le Gaulois","13 septembre 1883",False,"1883"
133,"L’Enfant","Gil Blas","18 septembre 1883",False,"1883"
134,"Une Soirée (Le Colporteur / Boule de suif)","Le Gaulois","21 septembre 1883",True,"1883"
135,"L’Odyssée d’une fille","Gil Blas","25 septembre 1883",True,"1883"
136,"Un coup d’état","Clair de lune","octobre 1883",False,"1883"
137,"Humble Drame","Gil Blas","2 octobre 1883",False,"1883"
138,"La Confession de Théodule Sabot","Gil Blas","9 octobre 1883",True,"1883"
139,"Une vendetta","Le Gaulois","14 octobre 1883",True,"1883"
140,"La Confession (Contes du jour et de la nuit)","Le Gaulois","21 octobre 1883",False,"1883"
141,"Au bord du lit","Gil Blas","23 octobre 1883",True,"1883"
142,"Regret","Le Gaulois","4 novembre 1883",True,"1883"
143,"Le Vengeur","Gil Blas","6 novembre 1883",True,"1883"
144,"L’Attente","Le Gaulois","11 novembre 1883",True,"1883"
145,"Décoré !","Gil Blas","13 novembre 1883",True,"1883"
146,"Le Père","Gil Blas","20 novembre 1883",False,"1883"
147,"La Ficelle","Le Gaulois","25 novembre 1883",True,"1883"
148,"Un sage","Gil Blas","4 décembre 1883",True,"1883"
149,"Première neige","Le Gaulois","11 décembre 1883",True,"1883"
150,"Le Modèle","Le Gaulois","17 décembre 1883",True,"1883"
151,"La Farce","Gil Blas","18 décembre 1883",False,"1883"
152,"La Main","Le Gaulois","23 décembre 1883",True,"1883"
153,"Garçon, un Bock !...","Gil Blas","1er janvier 1884",True,"1884"
154,"Le Vieux","Le Gaulois","6 janvier 1884",True,"1884"
155,"Lettre trouvée sur un noyé","Gil Blas","8 janvier 1884",False,"1884"
156,"Le Baptême","Le Gaulois","14 janvier 1884",True,"1884"
157,"Coco","Le Gaulois","21 janvier 1884",True,"1884"
158,"Misti","Gil Blas","22 janvier 1884",False,"1884"
159,"Un lâche","Le Gaulois","27 janvier 1884",True,"1884"
160,"Rose","Gil Blas","29 janvier 1884",True,"1884"
161,"Notes d’un voyageur","Le Gaulois","4 février 1884",False,"1884"
162,"Le Protecteur","Gil Blas","5 février 1884",True,"1884"
163,"Le Parapluie","Le Gaulois","10 février 1884",True,"1884"
164,"Idylle","Gil Blas","12 février 1884",True,"1884"
165,"La Parure","Le Gaulois","17 février 1884",True,"1884"
166,"Une vente","Gil Blas","22 février 1884",True,"1884"
167,"Vains conseils","Gil Blas","26 février 1884",False,"1884"
168,"La mère sauvage","Le Gaulois","3 mars 1884",True,"1884"
169,"Le Gueux","Le Gaulois","9 mars 1884",True,"1884"
170,"Rencontre","Gil Blas","11 mars 1884",True,"1884"
171,"Le Bonheur","Le Gaulois","16 mars 1884",True,"1884"
172,"Adieu","Gil Blas","18 mars 1884",True,"1884"
173,"Souvenirs","Le Gaulois","23 mars 1884",False,"1884"
174,"Solitude","Le Gaulois","31 mars 1884",True,"1884"
175,"L’Héritage","La Vie militaire illustré","du 15 mars au 26 avril 1884",True,"1884"
176,"La Patronne","Gil Blas","1er avril 1884",True,"1884"
177,"Le Petit Fût","Le Gaulois","7 avril 1884",True,"1884"
178,"Chronique","Gil Blas","14 avril 1884",False,"1884"
179,"Châli","Gil Blas","15 avril 1884",True,"1884"
180,"L’Ivrogne","Le Gaulois","20 avril 1884",True,"1884"
181,"Malades et médecins","Gil Blas","11 mai 1884",False,"1884"
182,"La Chevelure","Gil Blas","13 mai 1884",True,"1884"
183,"L’Horrible","Le Gaulois","18 mai 1884",False,"1884"
184,"Souvenir","Gil Blas","20 mai 1884",True,"1884"
185,"Promenade","Gil Blas","27 mai 1884",True,"1884"
186,"Les Sœurs Rondoli","L’Écho de Paris","du 29 mai au 5 juin 1884",True,"1884"
187,"Les idées du Colonel","Le Gaulois","9 juin 1884",True,"1884"
188,"Le Crime au père Boniface","Gil Blas","24 juin 1884",True,"1884"
189,"Le Lit 29","Gil Blas","8 juillet 1884",True,"1884"
190,"Le Tic","Le Gaulois","14 juillet 1884",False,"1884"
191,"L’Aveu","Gil Blas","22 juillet 1884",True,"1884"
192,"La Peur","Le Figaro","25 juillet 1884",True,"1884"
193,"Le Retour","Le Gaulois","28 juillet 1884",True,"1884"
194,"La Tombe","Gil Blas","29 juillet 1884",False,"1884"
195,"La confession (Le Rosier de Madame Husson)","Gil Blas","12 août 1884",True,"1884"
196,"L’Abandonné","Le Figaro","15 août 1884",True,"1884"
197,"Yvette","Le Figaro","du 29 août au 9 septembre 1884",True,"1884"
198,"Un fou ?","Le Figaro","1er septembre 1884",False,"1884"
199,"Découverte","Le Gaulois","4 septembre 1884",True,"1884"
200,"Le Bûcher","Le Figaro","7 septembre 1884",False,"1884"
201,"La Dot","Gil Blas","9 septembre 1884",True,"1884"
202,"Mohammed-Fripouille","Le Gaulois","20 septembre 1884",True,"1884"
203,"Le Legs","Gil Blas","23 septembre 1884",False,"1884"
